home_team,away_team,home_score,away_score,tournament,city,country,neutral,Winner,Won_by_goals,Year,Month,Total_goals,matches,Tie,H/A/T
Cyprus,Lebanon,2,0,Friendly,Nicosia,Cyprus,False,Cyprus,2,1965,March,2,1,0,H
Honduras,United States,1,1,FIFA World Cup qualification,Tegucigalpa,Honduras,False,Tie,0,1965,March,2,1,1,T
Burma,Japan,1,1,Friendly,Rangoon,Burma,False,Tie,0,1965,March,2,1,1,T
France,Austria,1,2,Friendly,Paris,France,False,Austria,1,1965,March,3,1,0,A
Republic of Ireland,Belgium,0,2,Friendly,Dublin,Republic of Ireland,False,Belgium,2,1965,March,2,1,0,A
Singapore,Japan,1,4,Friendly,Kallang,Singapore,False,Japan,3,1965,March,5,1,0,A
Malaysia,Japan,1,1,Friendly,Kuala Lumpur,Malaysia,False,Tie,0,1965,March,2,1,1,T
Costa Rica,Curaçao,6,0,CONCACAF Championship,Guatemala,Guatemala,True,Costa Rica,6,1965,March,6,1,0,H
El Salvador,Mexico,0,2,CONCACAF Championship,Guatemala,Guatemala,True,Mexico,2,1965,March,2,1,0,A
Guinea,Senegal,3,1,African Cup of Nations qualification,Conakry,Guinea,False,Guinea,2,1965,March,4,1,0,H
El Salvador,Curaçao,1,1,CONCACAF Championship,Guatemala,Guatemala,True,Tie,0,1965,March,2,1,1,T
Northern Ireland,Wales,0,5,British Championship,Belfast,Northern Ireland,False,Wales,5,1965,March,5,1,0,A
Mexico,Curaçao,5,0,CONCACAF Championship,Guatemala,Guatemala,True,Mexico,5,1965,April,5,1,0,H
Peru,Paraguay,0,1,Friendly,Lima,Peru,False,Paraguay,1,1965,April,1,1,0,A
Ethiopia,Kenya,2,1,African Cup of Nations qualification,Addis Abeba,Ethiopia,False,Ethiopia,1,1965,April,3,1,0,H
Haiti,Mexico,0,3,CONCACAF Championship,Guatemala,Guatemala,True,Mexico,3,1965,April,3,1,0,A
Costa Rica,Mexico,1,1,CONCACAF Championship,Guatemala,Guatemala,True,Tie,0,1965,April,2,1,1,T
Guatemala,Curaçao,3,2,CONCACAF Championship,Guatemala,Guatemala,False,Guatemala,1,1965,April,5,1,0,H
Belgium,Poland,0,0,Friendly,Brussels,Belgium,False,Tie,0,1965,April,0,1,1,T
Netherlands,Northern Ireland,0,0,FIFA World Cup qualification,Rotterdam,Netherlands,False,Tie,0,1965,April,0,1,1,T
Costa Rica,El Salvador,1,2,CONCACAF Championship,Guatemala,Guatemala,True,El Salvador,1,1965,April,3,1,0,A
Haiti,Curaçao,1,1,CONCACAF Championship,Guatemala,Guatemala,True,Tie,0,1965,April,2,1,1,T
England,Scotland,2,2,British Championship,London,England,False,Tie,0,1965,April,4,1,1,T
Albania,Switzerland,0,2,FIFA World Cup qualification,Tirana,Albania,False,Switzerland,2,1965,April,2,1,0,A
Guatemala,Mexico,1,2,CONCACAF Championship,Guatemala,Guatemala,False,Mexico,1,1965,April,3,1,0,A
Ghana,DR Congo,4,1,Friendly,Accra,Ghana,False,Ghana,3,1965,April,5,1,0,H
Chile,Peru,4,1,Copa del Pacífico,Santiago,Chile,False,Chile,3,1965,April,5,1,0,H
Ethiopia,Sudan,1,0,African Cup of Nations qualification,Addis Abeba,Ethiopia,False,Ethiopia,1,1965,April,1,1,0,H
Mali,Senegal,0,2,African Cup of Nations qualification,Bamako,Mali,False,Senegal,2,1965,April,2,1,0,A
Poland,Italy,0,0,FIFA World Cup qualification,Warsaw,Poland,False,Tie,0,1965,April,0,1,1,T
Yugoslavia,France,1,0,FIFA World Cup qualification,Belgrade,Yugoslavia,False,Yugoslavia,1,1965,April,1,1,0,H
Turkey,Portugal,0,1,FIFA World Cup qualification,Ankara,Turkey,False,Portugal,1,1965,April,1,1,0,A
Germany,Cyprus,5,0,FIFA World Cup qualification,Karlsruhe,Germany,False,Germany,5,1965,April,5,1,0,H
Austria,German DR,1,1,FIFA World Cup qualification,Vienna,Austria,False,Tie,0,1965,April,2,1,1,T
Costa Rica,Mexico,0,0,FIFA World Cup qualification,San José,Costa Rica,False,Tie,0,1965,April,0,1,1,T
Czechoslovakia,Portugal,0,1,FIFA World Cup qualification,Bratislava,Czechoslovakia,False,Portugal,1,1965,April,1,1,0,A
Kenya,Sudan,1,1,African Cup of Nations qualification,Nairobi,Kenya,False,Tie,0,1965,April,2,1,1,T
Paraguay,Uruguay,2,1,Copa Artigas,Asunción,Paraguay,False,Paraguay,1,1965,April,3,1,0,H
Peru,Chile,0,1,Copa del Pacífico,Lima,Peru,False,Chile,1,1965,April,1,1,0,A
Indonesia,Sri Lanka,5,0,Friendly,Jakarta,Indonesia,False,Indonesia,5,1965,April,5,1,0,H
Italy,Wales,4,1,Friendly,Florence,Italy,False,Italy,3,1965,May,5,1,0,H
Uganda,Sudan,1,3,African Cup of Nations qualification,Kampala,Uganda,False,Sudan,2,1965,May,4,1,0,A
Uruguay,Paraguay,4,0,Copa Artigas,Montevideo,Uruguay,False,Uruguay,4,1965,May,4,1,0,H
Morocco,Tunisia,0,1,Friendly,Casablanca,Morocco,False,Tunisia,1,1965,May,1,1,0,A
Romania,Turkey,3,0,FIFA World Cup qualification,Bucharest,Romania,False,Romania,3,1965,May,3,1,0,H
Switzerland,Albania,1,0,FIFA World Cup qualification,Geneva,Switzerland,False,Switzerland,1,1965,May,1,1,0,H
Jamaica,Mexico,2,3,FIFA World Cup qualification,Kingston,Jamaica,False,Mexico,1,1965,May,5,1,0,A
Mali,Congo,1,1,Friendly,Bamako,Mali,False,Tie,0,1965,May,2,1,1,T
England,Hungary,1,0,Friendly,London,England,False,England,1,1965,May,1,1,0,H
Republic of Ireland,Spain,1,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,Republic of Ireland,1,1965,May,1,1,0,H
Senegal,Mali,3,1,African Cup of Nations qualification,Dakar,Senegal,False,Senegal,2,1965,May,4,1,0,H
Sweden,Cyprus,3,0,FIFA World Cup qualification,Norrköping,Sweden,False,Sweden,3,1965,May,3,1,0,H
Mexico,Jamaica,8,0,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico,8,1965,May,8,1,0,H
Northern Ireland,Albania,4,1,FIFA World Cup qualification,Belfast,Northern Ireland,False,Northern Ireland,3,1965,May,5,1,0,H
Scotland,Spain,0,0,Friendly,Glasgow,Scotland,False,Tie,0,1965,May,0,1,1,T
Belgium,Israel,1,0,FIFA World Cup qualification,Brussels,Belgium,False,Belgium,1,1965,May,1,1,0,H
Bulgaria,Turkey,4,1,Friendly,Sofia,Bulgaria,False,Bulgaria,3,1965,May,5,1,0,H
Chile,Uruguay,0,0,Copa Juan Pinto Durán,Santiago,Chile,False,Tie,0,1965,May,0,1,1,T
Yugoslavia,England,1,1,Friendly,Belgrade,Yugoslavia,False,Tie,0,1965,May,2,1,1,T
Costa Rica,Jamaica,7,0,FIFA World Cup qualification,San José,Costa Rica,False,Costa Rica,7,1965,May,7,1,0,H
Germany,England,0,1,Friendly,Nuremberg,Germany,False,England,1,1965,May,1,1,0,A
Mexico,Costa Rica,1,0,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico,1,1965,May,1,1,0,H
Peru,Venezuela,1,0,FIFA World Cup qualification,Lima,Peru,False,Peru,1,1965,May,1,1,0,H
Poland,Bulgaria,1,1,Friendly,Cracow,Poland,False,Tie,0,1965,May,2,1,1,T
Russia,Austria,0,0,Friendly,Moscow,Soviet Union,False,Tie,0,1965,May,0,1,1,T
Sweden,England,1,2,Friendly,Gothenburg,Sweden,False,England,1,1965,May,3,1,0,A
Uruguay,Chile,1,1,Copa Juan Pinto Durán,Montevideo,Uruguay,False,Tie,0,1965,May,2,1,1,T
Norway,Thailand,7,0,Friendly,Bergen,Norway,False,Norway,7,1965,May,7,1,0,H
Iran,Turkey,1,2,Friendly,Teheran,Iran,False,Turkey,1,1965,May,3,1,0,A
Jamaica,Costa Rica,1,1,FIFA World Cup qualification,Kingston,Jamaica,False,Tie,0,1965,May,2,1,1,T
German DR,Hungary,1,1,FIFA World Cup qualification,Leipzig,German DR,False,Tie,0,1965,May,2,1,1,T
Mali,Guinea,2,1,African Cup of Nations qualification,Bamako,Mali,False,Mali,1,1965,May,3,1,0,H
Poland,Scotland,1,1,FIFA World Cup qualification,Chorzów,Poland,False,Tie,0,1965,May,2,1,1,T
Russia,Greece,3,1,FIFA World Cup qualification,Moscow,Soviet Union,True,Russia,2,1965,May,4,1,0,H
Uruguay,Venezuela,5,0,FIFA World Cup qualification,Montevideo,Uruguay,False,Uruguay,5,1965,May,5,1,0,H
Iran,Turkey,2,1,Friendly,Teheran,Iran,False,Iran,1,1965,May,3,1,0,H
Switzerland,Germany,0,1,Friendly,Basel,Switzerland,False,Germany,1,1965,May,1,1,0,A
Finland,Scotland,1,2,FIFA World Cup qualification,Helsinki,Finland,False,Scotland,1,1965,May,3,1,0,A
Norway,Luxembourg,4,2,FIFA World Cup qualification,Trondheim,Norway,False,Norway,2,1965,May,6,1,0,H
Liberia,Ivory Coast,0,1,African Cup of Nations qualification,Monrovia,Liberia,False,Ivory Coast,1,1965,May,1,1,0,A
Romania,Czechoslovakia,1,0,FIFA World Cup qualification,Bucharest,Romania,False,Romania,1,1965,May,1,1,0,H
Russia,Wales,2,1,FIFA World Cup qualification,Moscow,Soviet Union,True,Russia,1,1965,May,3,1,0,H
Venezuela,Uruguay,1,3,FIFA World Cup qualification,Caracas,Venezuela,False,Uruguay,2,1965,May,4,1,0,A
Brazil,Belgium,5,0,Friendly,Rio de Janeiro,Brazil,False,Brazil,5,1965,June,5,1,0,H
Venezuela,Peru,3,6,FIFA World Cup qualification,Caracas,Venezuela,False,Peru,3,1965,June,9,1,0,A
France,Argentina,0,0,Friendly,Paris,France,False,Tie,0,1965,June,0,1,1,T
Brazil,Germany,2,0,Friendly,Rio de Janeiro,Brazil,False,Brazil,2,1965,June,2,1,0,H
Guinea,Mali,2,1,African Cup of Nations qualification,Conakry,Guinea,False,Guinea,1,1965,June,3,1,0,H
Peru,Uruguay,0,1,FIFA World Cup qualification,Lima,Peru,False,Uruguay,1,1965,June,1,1,0,A
Brazil,Argentina,0,0,Friendly,Rio de Janeiro,Brazil,False,Tie,0,1965,June,0,1,1,T
Denmark,Finland,3,1,Nordic Championship,Copenhagen,Denmark,False,Denmark,2,1965,June,4,1,0,H
Austria,Hungary,0,1,FIFA World Cup qualification,Vienna,Austria,False,Hungary,1,1965,June,1,1,0,A
Bulgaria,Israel,4,0,FIFA World Cup qualification,Sofia,Bulgaria,False,Bulgaria,4,1965,June,4,1,0,H
Portugal,Romania,2,1,FIFA World Cup qualification,Oeiras,Portugal,False,Portugal,1,1965,June,3,1,0,H
Uruguay,Peru,2,1,FIFA World Cup qualification,Montevideo,Uruguay,False,Uruguay,1,1965,June,3,1,0,H
Norway,Yugoslavia,3,0,FIFA World Cup qualification,Oslo,Norway,False,Norway,3,1965,June,3,1,0,H
Sweden,Italy,2,2,Friendly,Malmö,Sweden,False,Tie,0,1965,June,4,1,1,T
Algeria,Brazil,0,3,Friendly,Oran,Algeria,False,Brazil,3,1965,June,3,1,0,A
Denmark,Sweden,2,1,Nordic Championship,Copenhagen,Denmark,False,Denmark,1,1965,June,3,1,0,H
Finland,Italy,0,2,FIFA World Cup qualification,Helsinki,Finland,False,Italy,2,1965,June,2,1,0,A
Portugal,Brazil,0,0,Friendly,Porto,Portugal,False,Tie,0,1965,June,0,1,1,T
Congo,Benin,1,6,Friendly,Brazzaville,Congo,False,Benin,5,1965,June,7,1,0,A
Hungary,Italy,2,1,Friendly,Budapest,Hungary,False,Hungary,1,1965,June,3,1,0,H
Ivory Coast,Liberia,4,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False,Ivory Coast,4,1965,June,4,1,0,H
Russia,Denmark,6,0,FIFA World Cup qualification,Moscow,Soviet Union,True,Russia,6,1965,June,6,1,0,H
Sweden,Brazil,1,2,Friendly,Solna,Sweden,False,Brazil,1,1965,June,3,1,0,A
Russia,Brazil,0,3,Friendly,Moscow,Soviet Union,False,Brazil,3,1965,July,3,1,0,A
Iceland,Denmark,1,3,Friendly,Reykjavík,Iceland,False,Denmark,2,1965,July,4,1,0,A
Honduras,Costa Rica,1,1,Friendly,Tegucigalpa,Honduras,False,Tie,0,1965,July,2,1,1,T
Argentina,Chile,1,0,Copa Carlos Dittborn,Buenos Aires,Argentina,False,Argentina,1,1965,July,1,1,0,H
Colombia,Ecuador,0,1,FIFA World Cup qualification,Barranquilla,Colombia,False,Ecuador,1,1965,July,1,1,0,A
Chile,Argentina,1,1,Copa Carlos Dittborn,Santiago,Chile,False,Tie,0,1965,July,2,1,1,T
Pakistan,Turkey,1,3,Friendly,Teheran,Iran,True,Turkey,2,1965,July,4,1,0,A
Iran,Pakistan,4,1,Friendly,Teheran,Iran,False,Iran,3,1965,July,5,1,0,H
Ecuador,Colombia,2,0,FIFA World Cup qualification,Guayaquil,Ecuador,False,Ecuador,2,1965,July,2,1,0,H
Iran,Turkey,0,0,Friendly,Teheran,Iran,False,Tie,0,1965,July,0,1,1,T
Paraguay,Bolivia,2,0,FIFA World Cup qualification,Asunción,Paraguay,False,Paraguay,2,1965,July,2,1,0,H
Suriname,French Guiana,7,0,Friendly,Paramaribo,Suriname,False,Suriname,7,1965,July,7,1,0,H
Suriname,French Guiana,5,0,Friendly,Paramaribo,Suriname,False,Suriname,5,1965,July,5,1,0,H
Jordan,Iraq,0,0,Friendly,Amman,Jordan,False,Tie,0,1965,July,0,1,1,T
Argentina,Paraguay,3,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,Argentina,3,1965,August,3,1,0,H
Chile,Colombia,7,2,FIFA World Cup qualification,Santiago,Chile,False,Chile,5,1965,August,9,1,0,H
China PR,Indonesia,3,0,Friendly,P'yongyang,North Korea,True,China PR,3,1965,August,3,1,0,H
North Korea,North Vietnam,1,0,Friendly,P'yongyang,North Korea,False,North Korea,1,1965,August,1,1,0,H
Cambodia,North Vietnam,1,1,Friendly,P'yongyang,North Korea,True,Tie,0,1965,August,2,1,1,T
Guinea,Indonesia,3,1,Friendly,P'yongyang,North Korea,True,Guinea,2,1965,August,4,1,0,H
North Korea,China PR,3,0,Friendly,P'yongyang,North Korea,False,North Korea,3,1965,August,3,1,0,H
Jamaica,Trinidad and Tobago,4,0,Friendly,Kingston,Jamaica,False,Jamaica,4,1965,August,4,1,0,H
Cambodia,Indonesia,0,0,Friendly,P'yongyang,North Korea,True,Tie,0,1965,August,0,1,1,T
Guinea,North Vietnam,1,2,Friendly,P'yongyang,North Korea,True,North Vietnam,1,1965,August,3,1,0,A
Cambodia,China PR,1,3,Friendly,P'yongyang,North Korea,True,China PR,2,1965,August,4,1,0,A
Colombia,Chile,2,0,FIFA World Cup qualification,Barranquilla,Colombia,False,Colombia,2,1965,August,2,1,0,H
North Korea,Guinea,3,0,Friendly,P'yongyang,North Korea,False,North Korea,3,1965,August,3,1,0,H
Finland,Norway,4,0,Nordic Championship,Helsinki,Finland,False,Finland,4,1965,August,4,1,0,H
North Korea,Indonesia,3,0,Friendly,P'yongyang,North Korea,False,North Korea,3,1965,August,3,1,0,H
Paraguay,Argentina,0,0,FIFA World Cup qualification,Asunción,Paraguay,False,Tie,0,1965,August,0,1,1,T
China PR,North Vietnam,3,3,Friendly,P'yongyang,North Korea,True,Tie,0,1965,August,6,1,1,T
China PR,Guinea,2,0,Friendly,P'yongyang,North Korea,True,China PR,2,1965,August,2,1,0,H
North Korea,Cambodia,4,0,Friendly,P'yongyang,North Korea,False,North Korea,4,1965,August,4,1,0,H
Indonesia,North Vietnam,2,1,Friendly,P'yongyang,North Korea,True,Indonesia,1,1965,August,3,1,0,H
South Korea,Thailand,2,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True,Thailand,1,1965,August,5,1,0,A
Liberia,DR Congo,2,1,African Cup of Nations qualification,Monrovia,Liberia,False,Liberia,1,1965,August,3,1,0,H
Burma,Hong Kong,4,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True,Burma,2,1965,August,6,1,0,H
Ecuador,Chile,2,2,FIFA World Cup qualification,Guayaquil,Ecuador,False,Tie,0,1965,August,4,1,1,T
Argentina,Bolivia,4,1,FIFA World Cup qualification,Buenos Aires,Argentina,False,Argentina,3,1965,August,5,1,0,H
Hong Kong,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True,Vietnam Republic,1,1965,August,3,1,0,A
Malaysia,South Korea,0,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False,South Korea,2,1965,August,2,1,0,A
Hong Kong,India,2,2,Merdeka Tournament,Ipoh,Malaysia,True,Tie,0,1965,August,4,1,1,T
Malaysia,Vietnam Republic,3,3,Merdeka Tournament,Ipoh,Malaysia,False,Tie,0,1965,August,6,1,1,T
South Korea,Vietnam Republic,0,0,Merdeka Tournament,Ipoh,Malaysia,True,Tie,0,1965,August,0,1,1,T
Malaysia,India,0,3,Merdeka Tournament,Ipoh,Malaysia,False,India,3,1965,August,3,1,0,A
Bolivia,Paraguay,2,1,FIFA World Cup qualification,La Paz,Bolivia,False,Bolivia,1,1965,August,3,1,0,H
Burma,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,Tie,0,1965,August,2,1,1,T
Chile,Ecuador,3,1,FIFA World Cup qualification,Santiago,Chile,False,Chile,2,1965,August,4,1,0,H
Sudan,Uganda,4,1,African Cup of Nations qualification,Khartoum,Sudan,False,Sudan,3,1965,August,5,1,0,H
Sweden,Finland,2,2,Nordic Championship,Luleå,Sweden,False,Tie,0,1965,August,4,1,1,T
India,South Korea,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,South Korea,1,1965,August,1,1,0,A
Burma,Chinese Taipei,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,Burma,2,1965,August,4,1,0,H
Hong Kong,South Korea,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,South Korea,1,1965,August,1,1,0,A
India,Vietnam Republic,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,India,2,1965,August,2,1,0,H
Burma,India,1,1,Merdeka Tournament,Ipoh,Malaysia,True,Tie,0,1965,August,2,1,1,T
Hong Kong,Thailand,1,1,Merdeka Tournament,Ipoh,Malaysia,True,Tie,0,1965,August,2,1,1,T
Gabon,Nigeria,2,2,Friendly,Libreville,Gabon,False,Tie,0,1965,August,4,1,1,T
South Korea,Chinese Taipei,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True,Tie,0,1965,August,2,1,1,T
Bolivia,Argentina,1,2,FIFA World Cup qualification,La Paz,Bolivia,False,Argentina,1,1965,August,3,1,0,A
Gabon,Nigeria,1,4,Friendly,Libreville,Gabon,False,Nigeria,3,1965,August,5,1,0,A
Singapore,India,1,2,Friendly,Kallang,Singapore,False,India,1,1965,August,3,1,0,A
Bulgaria,German DR,3,2,Friendly,Varna,Bulgaria,False,Bulgaria,1,1965,September,5,1,0,H
Russia,Yugoslavia,0,0,Friendly,Moscow,Soviet Union,False,Tie,0,1965,September,0,1,1,T
DR Congo,Ivory Coast,4,2,African Cup of Nations qualification,Brazzaville,Congo,True,DR Congo,2,1965,September,6,1,0,H
Hungary,Austria,3,0,FIFA World Cup qualification,Budapest,Hungary,False,Hungary,3,1965,September,3,1,0,H
Brazil,Uruguay,3,0,Friendly,Belo Horizonte,Brazil,False,Brazil,3,1965,September,3,1,0,H
New Caledonia,Tahiti,4,1,Friendly,Nouméa,New Caledonia,False,New Caledonia,3,1965,September,5,1,0,H
Zambia,Kenya,3,3,Friendly,Ndola,Zambia,False,Tie,0,1965,September,6,1,1,T
New Caledonia,Tahiti,2,1,Friendly,Nouméa,New Caledonia,False,New Caledonia,1,1965,September,3,1,0,H
Zambia,Kenya,2,3,Friendly,Kitwe,Zambia,False,Kenya,1,1965,September,5,1,0,A
Norway,France,0,1,FIFA World Cup qualification,Oslo,Norway,False,France,1,1965,September,1,1,0,A
Uganda,Zambia,2,2,Friendly,Kampala,Uganda,False,Tie,0,1965,September,4,1,1,T
Czechoslovakia,Romania,3,1,FIFA World Cup qualification,Prague,Czechoslovakia,False,Czechoslovakia,2,1965,September,4,1,0,H
Luxembourg,Yugoslavia,2,5,FIFA World Cup qualification,Luxembourg,Luxembourg,False,Yugoslavia,3,1965,September,7,1,0,A
Zambia,Kenya,3,2,Friendly,Lusaka,Zambia,False,Zambia,1,1965,September,5,1,0,H
DR Congo,Liberia,3,2,African Cup of Nations qualification,Brazzaville,Congo,True,DR Congo,1,1965,September,5,1,0,H
Uganda,Zanzibar,4,1,Friendly,Kampala,Uganda,False,Uganda,3,1965,September,5,1,0,H
Bulgaria,Belgium,3,0,FIFA World Cup qualification,Sofia,Bulgaria,False,Bulgaria,3,1965,September,3,1,0,H
Kenya,Tanzania,0,2,Friendly,Kampala,Uganda,True,Tanzania,2,1965,September,2,1,0,A
Norway,Denmark,2,2,Nordic Championship,Oslo,Norway,False,Tie,0,1965,September,4,1,1,T
Sweden,Germany,1,2,FIFA World Cup qualification,Solna,Sweden,False,Germany,1,1965,September,3,1,0,A
Uganda,Kenya,2,2,Friendly,Kampala,Uganda,False,Tie,0,1965,September,4,1,1,T
Finland,Poland,2,0,FIFA World Cup qualification,Helsinki,Finland,False,Finland,2,1965,September,2,1,0,H
Tanzania,Zanzibar,3,0,Friendly,Kampala,Uganda,True,Tanzania,3,1965,September,3,1,0,H
Kenya,Zanzibar,5,1,Friendly,Kampala,Uganda,True,Kenya,4,1965,October,6,1,0,H
Northern Ireland,Scotland,3,2,British Championship,Belfast,Northern Ireland,False,Northern Ireland,1,1965,October,5,1,0,H
Uganda,Tanzania,1,1,Friendly,Kampala,Uganda,False,Tie,0,1965,October,2,1,1,T
Wales,England,0,0,British Championship,Cardiff,Wales,False,Tie,0,1965,October,0,1,1,T
Greece,Russia,1,4,FIFA World Cup qualification,Piraeus,Greece,False,Russia,3,1965,October,5,1,0,A
France,Yugoslavia,1,0,FIFA World Cup qualification,Paris,France,False,France,1,1965,October,1,1,0,H
Germany,Austria,4,1,Friendly,Stuttgart,Germany,False,Germany,3,1965,October,5,1,0,H
Hungary,German DR,3,2,FIFA World Cup qualification,Budapest,Hungary,False,Hungary,1,1965,October,5,1,0,H
Turkey,Czechoslovakia,0,6,FIFA World Cup qualification,Istanbul,Turkey,False,Czechoslovakia,6,1965,October,6,1,0,A
Chile,Ecuador,2,1,FIFA World Cup qualification,Lima,Peru,True,Chile,1,1965,October,3,1,0,H
Scotland,Poland,1,2,FIFA World Cup qualification,Glasgow,Scotland,False,Poland,1,1965,October,3,1,0,A
Ghana,Congo,5,0,Friendly,Accra,Ghana,False,Ghana,5,1965,October,5,1,0,H
Congo,Ghana,2,1,Friendly,Brazzaville,Congo,False,Congo,1,1965,October,3,1,0,H
Denmark,Russia,1,3,FIFA World Cup qualification,Copenhagen,Denmark,False,Russia,2,1965,October,4,1,0,A
Netherlands,Switzerland,0,0,FIFA World Cup qualification,Amsterdam,Netherlands,False,Tie,0,1965,October,0,1,1,T
England,Austria,2,3,Friendly,London,England,False,Austria,1,1965,October,5,1,0,A
Congo,Ghana,1,2,Friendly,Brazzaville,Congo,False,Ghana,1,1965,October,3,1,0,A
Kenya,Tanzania,4,2,Friendly,Nairobi,Kenya,False,Kenya,2,1965,October,6,1,0,H
Turkey,Romania,2,1,FIFA World Cup qualification,Ankara,Turkey,False,Turkey,1,1965,October,3,1,0,H
Poland,Finland,7,0,FIFA World Cup qualification,Szczecin,Poland,False,Poland,7,1965,October,7,1,0,H
Belgium,Bulgaria,5,0,FIFA World Cup qualification,Brussels,Belgium,False,Belgium,5,1965,October,5,1,0,H
Denmark,Greece,1,1,FIFA World Cup qualification,Copenhagen,Denmark,False,Tie,0,1965,October,2,1,1,T
Spain,Republic of Ireland,4,1,FIFA World Cup qualification,Seville,Spain,False,Spain,3,1965,October,5,1,0,H
Wales,Russia,2,1,FIFA World Cup qualification,Cardiff,Wales,False,Wales,1,1965,October,3,1,0,H
Nigeria,Ghana,0,4,Friendly,Lagos,Nigeria,False,Ghana,4,1965,October,4,1,0,A
Algeria,Morocco,0,0,Friendly,Algiers,Algeria,False,Tie,0,1965,October,0,1,1,T
German DR,Austria,1,0,FIFA World Cup qualification,Leipzig,German DR,False,German DR,1,1965,October,1,1,0,H
Portugal,Czechoslovakia,0,0,FIFA World Cup qualification,Porto,Portugal,False,Tie,0,1965,October,0,1,1,T
Sweden,Norway,0,0,Nordic Championship,Solna,Sweden,False,Tie,0,1965,October,0,1,1,T
Italy,Poland,6,1,FIFA World Cup qualification,Rome,Italy,False,Italy,5,1965,November,7,1,0,H
France,Luxembourg,4,1,FIFA World Cup qualification,Marseille,France,False,France,3,1965,November,5,1,0,H
Cyprus,Sweden,0,5,FIFA World Cup qualification,Famagusta,Cyprus,False,Sweden,5,1965,November,5,1,0,A
Ghana,Nigeria,3,0,Friendly,Accra,Ghana,False,Ghana,3,1965,November,3,1,0,H
Yugoslavia,Norway,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,False,Tie,0,1965,November,2,1,1,T
Scotland,Italy,1,0,FIFA World Cup qualification,Glasgow,Scotland,False,Scotland,1,1965,November,1,1,0,H
England,Northern Ireland,2,1,British Championship,London,England,False,England,1,1965,November,3,1,0,H
Republic of Ireland,Spain,0,1,FIFA World Cup qualification,Paris,France,True,Spain,1,1965,November,1,1,0,A
Israel,Belgium,0,5,FIFA World Cup qualification,Ramat-Gan,Israel,False,Belgium,5,1965,November,5,1,0,A
DR Congo,Ghana,2,5,African Cup of Nations,Sousse,Tunisia,True,Ghana,3,1965,November,7,1,0,A
Tunisia,Ethiopia,4,0,African Cup of Nations,Tunis,Tunisia,False,Tunisia,4,1965,November,4,1,0,H
Vietnam Republic,Thailand,4,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False,Vietnam Republic,4,1965,November,4,1,0,H
DR Congo,Ivory Coast,0,3,African Cup of Nations,Sfax,Tunisia,True,Ivory Coast,3,1965,November,3,1,0,A
Cyprus,Germany,0,6,FIFA World Cup qualification,Nicosia,Cyprus,False,Germany,6,1965,November,6,1,0,A
Switzerland,Netherlands,2,1,FIFA World Cup qualification,Berne,Switzerland,False,Switzerland,1,1965,November,3,1,0,H
Tunisia,Senegal,0,0,African Cup of Nations,Tunis,Tunisia,False,Tie,0,1965,November,0,1,1,T
Vietnam Republic,Malaysia,2,2,Vietnam Independence Cup,Saigon,Vietnam Republic,False,Tie,0,1965,November,4,1,1,T
Ethiopia,Senegal,1,5,African Cup of Nations,Tunis,Tunisia,True,Senegal,4,1965,November,6,1,0,A
Ghana,Ivory Coast,4,1,African Cup of Nations,Bizerte,Tunisia,True,Ghana,3,1965,November,5,1,0,H
Brazil,Russia,2,2,Friendly,Rio de Janeiro,Brazil,False,Tie,0,1965,November,4,1,1,T
Brazil,Hungary,5,3,Friendly,São Paulo,Brazil,False,Brazil,2,1965,November,8,1,0,H
Czechoslovakia,Turkey,3,1,FIFA World Cup qualification,Brno,Czechoslovakia,False,Czechoslovakia,2,1965,November,4,1,0,H
Dominica,Grenada,2,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True,Dominica,2,1965,November,2,1,0,H
Israel,Bulgaria,1,2,FIFA World Cup qualification,Ramat-Gan,Israel,False,Bulgaria,1,1965,November,3,1,0,A
Ivory Coast,Senegal,1,0,African Cup of Nations,Tunis,Tunisia,True,Ivory Coast,1,1965,November,1,1,0,H
North Korea,Australia,6,1,FIFA World Cup qualification,Phnom Penh,Cambodia,True,North Korea,5,1965,November,7,1,0,H
Romania,Portugal,2,0,FIFA World Cup qualification,Bucharest,Romania,False,Romania,2,1965,November,2,1,0,H
Tunisia,Ghana,2,3,African Cup of Nations,Tunis,Tunisia,False,Ghana,1,1965,November,5,1,0,A
